ObjCoeff,yLP,Dual,RC,yInt,,,,
0.88645,0.500000_0.700878_0.350439_0.175219_0.098163_0.160645_0.170207_0.174988_0.177378_0.178573_0.179768_0.179768_0.179768_0.179768_0.169071_0.179768_0.179768_0.179768_0.179768_0.179768_,-575.783997_-1808.375366_-675.142883_-1933.642456_-87.477600_-1752.535156_-2762.212891_-2105.278320_-46.580799_-1698.521606_-772.243408_-1181.425171_-1874.523193_-1561.994995_-1071.504028_-703.736023_-1669.269653_-720.915283_-2088.333984_-687.323975_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,1,,,,
0.86374,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_2025.971313_1784.580688_1549.983154_1274.107910_1209.993042_1247.514038_1206.244629_974.134705_904.169739_939.665833_839.654297_984.347107_1029.428345_932.465271_896.328247_766.843140_,0,,,,
0.965935,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.010698_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_-616.841980_-139.474304_-631.705994_-279.182495_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_-276.898956_-1037.700439_-1048.631348_-677.446594_-1073.900146_,0.000000_0.000000_1183.611572_1140.063843_1035.456543_783.101685_598.164856_369.192505_323.420868_346.312561_373.281372_130.377945_128.712418_40.169247_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,,,,
1,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_2096.685303_2138.028320_2031.770264_1892.768433_1898.506958_1955.721802_1986.847168_2039.066040_2095.979736_2011.781128_1962.721069_1935.203125_1924.733276_1894.133301_,0,,,,
0.443225,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_-0.000000_-0.000000_-0.000000_-0.000000_-0.000000_-0.000000_-0.000000_-0.000000_-0.000000_-0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,,,,
0.61355,0.500000_0.299122_0.149561_0.074781_0.037390_0.018695_0.009348_0.004674_0.002337_0.001168_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_921.047729_793.667358_764.341309_862.596191_947.543091_754.177734_792.828247_800.337280_852.156738_835.162537_706.596497_758.640381_,0,,,,
0.0340651,0.500000_0.276914_0.482746_0.363625_0.202557_0.146765_0.252849_0.299399_0.332841_0.345051_0.267734_0.353895_0.321155_0.306060_0.309049_0.328928_0.300935_0.302659_0.312079_0.307849_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_-229.706497_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,1,,,,
0.193036,0.500000_0.526925_0.539201_0.686753_0.642029_0.479504_0.351513_0.294107_0.348347_0.461937_0.479611_0.521374_0.487812_0.609374_0.489133_0.412953_0.432666_0.434552_0.421456_0.436850_,0.000000_0.000000_-140.000000_-140.000000_-140.000000_0.000000_0.000000_-70.000000_-140.000000_-70.000000_0.000000_0.000000_0.000000_0.000000_-134.931198_-140.000000_-140.000000_-315.000000_-315.000000_-315.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,,,,
1,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_2461.544434_2389.145020_2393.769287_2449.781006_2461.486816_2620.780518_,0,,,,
0.40916,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_1406.091064_1420.325928_1398.522949_1376.139526_1373.262207_1332.719971_1363.825073_1380.565552_1374.556519_1369.974365_1350.178711_1357.502075_1349.473511_1311.221191_,0,,,,
0.95458,0.500000_0.705260_0.686195_0.750100_0.615162_0.767297_0.723412_0.789247_0.883815_0.715327_0.631436_0.697269_1.000000_0.699368_0.664083_0.956745_0.866360_0.888198_0.867074_0.915360_,-2663.621582_-1564.099976_-2833.470215_-4016.895020_-1949.889038_-1309.795044_-3603.447754_-3579.854980_-2927.860352_-2312.216797_-3128.832275_-2976.379883_-1381.767090_-3423.135010_-2996.094971_-2833.639893_-1564.099976_-3014.330078_-4016.895020_-2074.35,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,,,,
0.0340651,0.500000_0.673964_0.540872_0.509455_0.514616_0.297592_0.309032_0.226976_0.242822_0.347992_0.379936_0.385308_0.384031_0.507680_0.522373_0.305851_0.339865_0.322835_0.342267_0.318276_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,1,,,,
