LB,ObjCoeff,Dual,RC,y_lp_sum,ylp,yint
46830.9,0.352006,0.331967,-0.588944,0.999977,1,1
46830.9,0.511355,0.440265,-0.338315,0.255985,0.25983,0
46830.9,0.295231,0.987921,-0.338315,4.15E-05,0,0
46830.9,0.40916,0.676129,-0.296939,1.91E-05,0,0
46830.9,0.329296,0.999413,-0.338315,0.161531,0.165674,0
46830.9,1,0.998654,-0.338315,1.91E-05,0,0
46830.9,0.43187,0.585253,-0.349947,0.999977,1,1
46830.9,0.795231,-0.211652,-0.0969748,1.91E-05,0,0
46830.9,0.272521,0.642236,-0.338315,0.66844,0.668653,1
46830.9,0.63626,0.195908,0.172019,1.91E-05,0,0
46830.9,1,0.109834,-0.0464046,1.91E-05,0,0
46830.9,0.579485,-1.00E+00,-1.00E+00,0.999977,1,1
46830.9,0.88645,0.422105,-0.338315,1.91E-05,0,0
46830.9,0.238456,1,-0.338315,0.999977,1,1
46441,1,0.730596,0.837898,0.237503,0.239392,1
46441,0.329545,0.967281,0.869112,8.86E-07,0,0
46441,0.579545,0.659401,0.800362,1,1,1
46441,0.568182,0.491117,0.454054,1,1,1
46441,0.329545,0.405986,0.209096,1,1,1
46441,0.647727,0.821402,0.837898,0.0758113,0.0792557,0
46441,0.659091,0.890706,0.837898,0.169722,0.169576,0
46441,0.840909,0.866272,0.837898,0.603547,0.603143,1
46441,0.0113636,0.799314,0.69028,1,1,1
46441,1,0.782512,0.911685,9.74E-10,0,0
46441,0.704545,0.193765,-0.0242272,1,1,1
46441,0.511364,1,0.837898,0.927044,0.929016,1
46441,0.204545,0.992945,0.837898,0.603611,0.608194,1
46441,0.556818,0.944474,0.837898,0.735504,0.737464,1
46441,0.840909,0.834556,0.892635,5.82E-10,0,0
46441,1,1,0.837898,1,1,1
46441,0.920455,0.8266,0.837898,0.363034,0.368928,1
46441,0.136364,0.992894,0.837898,0.0170626,0.019204,0
46441,0.318182,0.974966,0.836364,0.999987,1,1
46441,0.852273,0.893683,0.837898,4.54E-06,0,0
46441,0,0.999445,0.837898,0.853979,0.849533,1
46441,1,0.91869,0.957542,1.32E-09,0,0
46441,0.0681818,0.999953,0.883713,5.82E-10,0,0
46441,0.477273,0.99855,0.837898,0.00029309,0.000306914,0
46441,0.420455,0.924173,0.837898,0.173801,0.167281,0
46441,0.886364,0.9892,0.837898,0.0618286,0.062203,0
46441,0.681818,0.773203,0.863359,6.30E-05,0,0
46441,0.772727,0.816002,0.837898,0.799551,0.799448,1
46441,1,0.999074,0.837898,1,1,1
46441,0.102273,0.957883,0.837898,0.999758,1,1
46441,0.886364,0.78455,0.761422,1,1,1
46441,0.863636,0.863891,0.837898,0.108925,0.109639,0
46441,0.965909,0.986358,0.922699,2.44E-07,0,0
46441,1,0.918734,0.837898,0.0111272,0.00878058,0
46441,0.443182,0.934694,0.877299,8.07E-08,0,0
46441,0.613636,0.990693,1,1.42E-09,0,0
46441,0.0340909,0.986039,0.837898,0.776788,0.78059,1
46441,0.193182,0.926675,0.837898,0.000117293,-8.18E-12,1
46441,1,0.901412,0.837898,0.0402651,0.0399986,0
46441,0.409091,0.988552,0.837898,0.00559876,0.00351223,0
46441,0.954545,0.431919,0.547808,1,1,1
46441,0.0340909,0.996998,0.837898,0.954139,0.956489,1
46441,0.545455,0.977037,0.837898,0.501125,0.501458,1
46441,1,0.927688,0.837898,0.0381805,0.0376739,0
46441,0.511364,0.662838,0.567611,1,1,1
46441,0.545455,0.908964,0.810789,1,1,1
46441,0.352273,0.548726,0.0459174,1,1,1
46441,0.511364,0.949149,0.716467,1,1,1
46441,0.295455,0.897003,0.793131,1,1,1
46441,0.409091,0.937434,0.837898,0.830278,0.830424,1
46441,0.329545,0.999414,0.837898,0.0649794,0.0633162,0
46441,1,0.819405,0.837898,0.0317273,0.03323,0
46441,0.431818,-1.00E+00,-1.00E+00,1,1,1
46441,0.795455,0.690337,0.837898,0.979269,0.975943,1
