LB,ObjCoeff,y_lp_sum,Dual,ylp,yint
53399.3,0.511355,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_,-1053.023438_-789.887390_-644.610229_-1056.912964_-1190.154663_-445.569794_-863.354980_-672.115479_-1244.723999_-1426.177856_-1668.871948_,0,0
53399.3,0.54542,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,0
53399.3,0.352195,0.500000_0.750000_0.875000_0.937500_0.968750_0.984375_0.992188_0.996094_0.998047_0.999023_1.000000_,-2653.787598_-1789.990234_-1969.626953_-3066.289062_-1327.406250_-2332.958008_-762.891785_-2428.100098_-4343.454102_-4139.771484_-1485.665405_,1,1
53399.3,0.511355,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,0
53399.3,0.29542,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_-0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,0
53399.3,0.40916,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_-0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,0
53399.3,0.329485,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_-0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,0
53399.3,1,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_-0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,0
53399.3,0.43187,0.500000_0.750000_0.875000_0.937500_0.968750_0.984375_0.992188_0.996094_0.998047_0.999023_1.000000_,-3664.808105_-171.246399_-2147.117676_-3914.637939_-2303.780518_-2958.479980_-5166.826172_-5493.705078_-2294.294434_-2209.413330_-5832.393066_,1,1
53399.3,0.79542,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_-1923.011963_-2435.789307_0.000000_0.000000_0.000000_0.000000_,0,0
